	eco	name	fen	moves	pgn
377	A28	English Opening: King's English Variation, Four Knights Variation, Flexible Line	r1bqkb1r/pppp1ppp/2n2n2/4p3/2P5/2NP1N2/PP2PPPP/R1BQKB1R b KQkq -	c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 d2d3	1. c2 c4 2. e7 e5 3. b1 c3 4. g8 f6 5. g1 f3 6. b8 c6 7. d2 d3 
378	A28	English Opening: King's English Variation, Four Knights Variation, Korchnoi Line	r1bqkb1r/pppp1ppp/2n2n2/4p3/2P5/P1N2N2/1P1PPPPP/R1BQKB1R b KQkq -	c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 a2a3	1. c2 c4 2. e7 e5 3. b1 c3 4. g8 f6 5. g1 f3 6. b8 c6 7. a2 a3 
379	A28	English Opening: King's English Variation, Four Knights Variation, Quiet Line	r1bqk2r/pppp1ppp/2n2n2/4p3/2P5/2b1PN2/PPQP1PPP/R1B1KB1R w KQkq -	c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 e2e3 f8b4 d1c2 b4c3	1. c2 c4 2. e7 e5 3. b1 c3 4. g8 f6 5. g1 f3 6. b8 c6 7. e2 e3 8. f8 b4 9. d1 c2 10. b4 c3 
380	A28	English Opening: King's English Variation, Four Knights Variation, Quiet Line	r1bqkb1r/pppp1ppp/2n2n2/4p3/2P5/2N1PN2/PP1P1PPP/R1BQKB1R b KQkq -	c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 e2e3	1. c2 c4 2. e7 e5 3. b1 c3 4. g8 f6 5. g1 f3 6. b8 c6 7. e2 e3 
381	A28	English Opening: King's English Variation, Four Knights Variation, Quiet Line	r1bqr1k1/pppp1ppp/2n2n2/3NpQ2/1bP5/4PN2/PP1P1PPP/R1B1KB1R b KQ -	c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 e2e3 f8b4 d1c2 e8g8 c3d5 f8e8 c2f5	1. c2 c4 2. e7 e5 3. b1 c3 4. g8 f6 5. g1 f3 6. b8 c6 7. e2 e3 8. f8 b4 9. d1 c2 10. e8 g8 11. c3 d5 12. f8 e8 13. c2 f5 
382	A28	English Opening: King's English Variation, Four Knights Variation	r1bqk2r/pppp1pp1/5n1p/4n3/2PN3B/2P5/P3PPPP/R2QKB1R w KQkq -	c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 d2d4 e5d4 f3d4 f8b4 c1g5 h7h6 g5h4 b4c3 b2c3 c6e5	1. c2 c4 2. e7 e5 3. b1 c3 4. g8 f6 5. g1 f3 6. b8 c6 7. d2 d4 8. e5 d4 9. f3 d4 10. f8 b4 11. c1 g5 12. h7 h6 13. g5 h4 14. b4 c3 15. b2 c3 16. c6 e5 
383	A28	English Opening: King's English Variation, Four Knights Variation	r1bqkb1r/pppp1ppp/2n2n2/4p3/2P5/2N2N2/PP1PPPPP/R1BQKB1R w KQkq -	c2c4 e7e5 b1c3 g8f6 g1f3 b8c6	1. c2 c4 2. e7 e5 3. b1 c3 4. g8 f6 5. g1 f3 6. b8 c6 
384	A29	English Opening: King's English Variation, Four Knights Variation, Fianchetto Line	r1bqkb1r/pppp1ppp/2n2n2/4p3/2P5/2N2NP1/PP1PPP1P/R1BQKB1R b KQkq -	c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 g2g3	1. c2 c4 2. e7 e5 3. b1 c3 4. g8 f6 5. g1 f3 6. b8 c6 7. g2 g3 
385	A30	English Opening: Symmetrical, Hedgehog, Flexible Formation	r2qk2r/1b1nbppp/pp1ppn2/8/2PQ4/1PN2NP1/P3PPBP/R1BR2K1 w kq -	g1f3 c7c5 c2c4 g8f6 b1c3 e7e6 g2g3 b7b6 f1g2 c8b7 e1g1 f8e7 d2d4 c5d4 d1d4 d7d6 f1d1 a7a6 b2b3 b8d7	1. g1 f3 2. c7 c5 3. c2 c4 4. g8 f6 5. b1 c3 6. e7 e6 7. g2 g3 8. b7 b6 9. f1 g2 10. c8 b7 11. e1 g1 12. f8 e7 13. d2 d4 14. c5 d4 15. d1 d4 16. d7 d6 17. f1 d1 18. a7 a6 19. b2 b3 20. b8 d7 
386	A30	English Opening: Symmetrical Variation, Hedgehog Defense	rn1qk2r/pb1pbppp/1p2pn2/2p5/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 w kq -	g1f3 g8f6 c2c4 c7c5 b1c3 e7e6 g2g3 b7b6 f1g2 c8b7 e1g1 f8e7	1. g1 f3 2. g8 f6 3. c2 c4 4. c7 c5 5. b1 c3 6. e7 e6 7. g2 g3 8. b7 b6 9. f1 g2 10. c8 b7 11. e1 g1 12. f8 e7 
387	A30	English Opening: Symmetrical Variation, Napolitano Gambit	rnbqkb1r/pp1ppppp/5n2/2p5/1PP5/5N2/P2PPPPP/RNBQKB1R b KQkq -	c2c4 c7c5 g1f3 g8f6 b2b4	1. c2 c4 2. c7 c5 3. g1 f3 4. g8 f6 5. b2 b4 
388	A30	English Opening: Symmetrical Variation	rnbqkbnr/pp1ppppp/8/2p5/2P5/8/PP1PPPPP/RNBQKBNR w KQkq -	c2c4 c7c5	1. c2 c4 2. c7 c5 
389	A30	English Opening: Wing Gambit	rnbqkbnr/pp1ppppp/8/2p5/1PP5/8/P2PPPPP/RNBQKBNR b KQkq -	c2c4 c7c5 b2b4	1. c2 c4 2. c7 c5 3. b2 b4 
390	A31	English Opening: Symmetrical Variation, Anti-Benoni Variation	rnbqkb1r/pp1ppppp/5n2/2p5/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq -	d2d4 g8f6 c2c4 c7c5 g1f3	1. d2 d4 2. g8 f6 3. c2 c4 4. c7 c5 5. g1 f3 
391	A32	English Opening: Symmetrical Variation, Anti-Benoni Variation, Spielmann Defense	rnbqkb1r/pp1p1ppp/4pn2/8/2PN4/8/PP2PPPP/RNBQKB1R w KQkq -	d2d4 g8f6 c2c4 c7c5 g1f3 c5d4 f3d4 e7e6	1. d2 d4 2. g8 f6 3. c2 c4 4. c7 c5 5. g1 f3 6. c5 d4 7. f3 d4 8. e7 e6 
392	A33	English Opening: Symmetrical Variation, Anti-Benoni Variation, Geller Variation	r1b1kb1r/pp1p1ppp/1qn1pn2/8/2PN4/2N3P1/PP2PP1P/R1BQKB1R w KQkq -	g1f3 g8f6 c2c4 c7c5 b1c3 b8c6 d2d4 c5d4 f3d4 e7e6 g2g3 d8b6	1. g1 f3 2. g8 f6 3. c2 c4 4. c7 c5 5. b1 c3 6. b8 c6 7. d2 d4 8. c5 d4 9. f3 d4 10. e7 e6 11. g2 g3 12. d8 b6 
393	A33	English Opening: Symmetrical Variation, Anti-Benoni Variation, Spielmann Defense	r1bqkb1r/pp1p1ppp/2n1pn2/8/2PN4/2N5/PP2PPPP/R1BQKB1R w KQkq -	g1f3 g8f6 c2c4 c7c5 b1c3 b8c6 d2d4 c5d4 f3d4 e7e6	1. g1 f3 2. g8 f6 3. c2 c4 4. c7 c5 5. b1 c3 6. b8 c6 7. d2 d4 8. c5 d4 9. f3 d4 10. e7 e6 
394	A34	English Opening: Symmetrical Variation, Fianchetto Variation	rnbqkb1r/pp1ppppp/5n2/2p5/2P5/2N3P1/PP1PPP1P/R1BQKBNR b KQkq -	c2c4 g8f6 b1c3 c7c5 g2g3	1. c2 c4 2. g8 f6 3. b1 c3 4. c7 c5 5. g2 g3 
395	A34	English Opening: Symmetrical Variation, Normal Variation	rnbqkbnr/pp1ppppp/8/2p5/2P5/2N5/PP1PPPPP/R1BQKBNR b KQkq -	c2c4 c7c5 b1c3	1. c2 c4 2. c7 c5 3. b1 c3 
396	A34	English Opening: Symmetrical Variation, Rubinstein Variation	rnbqkb1r/ppn1pppp/8/2p5/8/2N3P1/PP1PPPBP/R1BQK1NR w KQkq -	c2c4 g8f6 b1c3 c7c5 g2g3 d7d5 c4d5 f6d5 f1g2 d5c7	1. c2 c4 2. g8 f6 3. b1 c3 4. c7 c5 5. g2 g3 6. d7 d5 7. c4 d5 8. f6 d5 9. f1 g2 10. d5 c7 
397	A34	English Opening: Symmetrical Variation, Three Knights Variation	rnbqkb1r/pp2pppp/8/2pn4/8/2N2N2/PP1PPPPP/R1BQKB1R w KQkq -	g1f3 g8f6 c2c4 c7c5 b1c3 d7d5 c4d5 f6d5	1. g1 f3 2. g8 f6 3. c2 c4 4. c7 c5 5. b1 c3 6. d7 d5 7. c4 d5 8. f6 d5 
398	A35	English Opening: Symmetrical Variation, Four Knights Variation	r1bqkb1r/pp1ppppp/2n2n2/2p5/2P5/2N2N2/PP1PPPPP/R1BQKB1R w KQkq -	g1f3 g8f6 c2c4 c7c5 b1c3 b8c6	1. g1 f3 2. g8 f6 3. c2 c4 4. c7 c5 5. b1 c3 6. b8 c6 
399	A35	English Opening: Symmetrical Variation, Two Knights Variation	r1bqkbnr/pp1ppppp/2n5/2p5/2P5/2N5/PP1PPPPP/R1BQKBNR w KQkq -	c2c4 c7c5 b1c3 b8c6	1. c2 c4 2. c7 c5 3. b1 c3 4. b8 c6 
400	A36	English Opening: Symmetrical Variation, Botvinnik System	r1bqk1nr/pp1pppbp/2n3p1/2p5/2P1P3/2N3P1/PP1P1PBP/R1BQK1NR b KQkq -	e2e4 c7c5 c2c4 b8c6 b1c3 g7g6 g2g3 f8g7 f1g2	1. e2 e4 2. c7 c5 3. c2 c4 4. b8 c6 5. b1 c3 6. g7 g6 7. g2 g3 8. f8 g7 9. f1 g2 
401	A36	English Opening: Symmetrical Variation, Botvinnik System Reversed	r1bqk1nr/pp1p1pbp/2n3p1/2p1p3/2P5/2N1P1P1/PP1P1PBP/R1BQK1NR w KQkq -	c2c4 c7c5 b1c3 g7g6 g2g3 f8g7 f1g2 b8c6 e2e3 e7e5	1. c2 c4 2. c7 c5 3. b1 c3 4. g7 g6 5. g2 g3 6. f8 g7 7. f1 g2 8. b8 c6 9. e2 e3 10. e7 e5 
402	A36	English Opening: Symmetrical Variation, Fianchetto Variation	r1bqkbnr/pp1ppppp/2n5/2p5/2P5/2N3P1/PP1PPP1P/R1BQKBNR b KQkq -	c2c4 c7c5 b1c3 b8c6 g2g3	1. c2 c4 2. c7 c5 3. b1 c3 4. b8 c6 5. g2 g3 
403	A36	English Opening: Symmetrical Variation, Symmetrical Variation	r1bqk1nr/pp1pppbp/2n3p1/2p5/2P5/2N3P1/PP1PPPBP/R1BQK1NR w KQkq -	c2c4 c7c5 g2g3 g7g6 f1g2 f8g7 b1c3 b8c6	1. c2 c4 2. c7 c5 3. g2 g3 4. g7 g6 5. f1 g2 6. f8 g7 7. b1 c3 8. b8 c6 
404	A37	English Opening: Symmetrical Variation, Botvinnik System Reversed	r1bqk1nr/pp1p1pbp/2n3p1/2p1p3/2P5/2N2NP1/PP1PPPBP/R1BQK2R w KQkq -	g1f3 c7c5 c2c4 b8c6 b1c3 e7e5 g2g3 g7g6 f1g2 f8g7	1. g1 f3 2. c7 c5 3. c2 c4 4. b8 c6 5. b1 c3 6. e7 e5 7. g2 g3 8. g7 g6 9. f1 g2 10. f8 g7 
405	A37	English Opening: Symmetrical Variation, Two Knights Line	r1bqk1nr/pp1pppbp/2n3p1/2p5/2P5/2N2NP1/PP1PPPBP/R1BQK2R b KQkq -	c2c4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 g1f3	1. c2 c4 2. c7 c5 3. b1 c3 4. b8 c6 5. g2 g3 6. g7 g6 7. f1 g2 8. f8 g7 9. g1 f3 
406	A38	English Opening: Symmetrical Variation, Double Fianchetto	r1bq1rk1/pp1pppbp/2n2np1/2p5/2P5/1PN2NP1/P2PPPBP/R1BQ1RK1 b - -	c2c4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 g1f3 g8f6 e1g1 e8g8 b2b3	1. c2 c4 2. c7 c5 3. b1 c3 4. b8 c6 5. g2 g3 6. g7 g6 7. f1 g2 8. f8 g7 9. g1 f3 10. g8 f6 11. e1 g1 12. e8 g8 13. b2 b3 
407	A38	English Opening: Symmetrical Variation, Duchamp Variation	r1bq1rk1/pp1pppbp/2n2np1/2p5/2P5/2NP1NP1/PP2PPBP/R1BQ1RK1 b - -	g1f3 g8f6 g2g3 g7g6 f1g2 f8g7 e1g1 e8g8 c2c4 c7c5 b1c3 b8c6 d2d3	1. g1 f3 2. g8 f6 3. g2 g3 4. g7 g6 5. f1 g2 6. f8 g7 7. e1 g1 8. e8 g8 9. c2 c4 10. c7 c5 11. b1 c3 12. b8 c6 13. d2 d3 
408	A38	English Opening: Symmetrical Variation, Full Symmetry Line	r1bqk2r/pp1pppbp/2n2np1/2p5/2P5/2N2NP1/PP1PPPBP/R1BQK2R w KQkq -	g1f3 g8f6 c2c4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7	1. g1 f3 2. g8 f6 3. c2 c4 4. c7 c5 5. b1 c3 6. b8 c6 7. g2 g3 8. g7 g6 9. f1 g2 10. f8 g7 
409	A39	English Opening: Symmetrical Variation, Mecking Variation	r1bq1rk1/pp1pppbp/2n2np1/2p5/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 b - -	g1f3 g8f6 c2c4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 e1g1 e8g8 d2d4	1. g1 f3 2. g8 f6 3. c2 c4 4. c7 c5 5. b1 c3 6. b8 c6 7. g2 g3 8. g7 g6 9. f1 g2 10. f8 g7 11. e1 g1 12. e8 g8 13. d2 d4 
410	A40	Australian Defense	r1bqkbnr/pppppppp/n7/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq -	d2d4 b8a6	1. d2 d4 2. b8 a6 
411	A40	Benoni Defense: Franco-Sicilian Hybrid	rnbqk2r/pp2npbp/3p2p1/2pP4/4P3/2N2N2/PP3PPP/R1BQKB1R w KQkq -	d2d4 e7e6 c2c4 c7c5 d4d5 e6d5 c4d5 d7d6 b1c3 g7g6 e2e4 f8g7 g1f3 g8e7	1. d2 d4 2. e7 e6 3. c2 c4 4. c7 c5 5. d4 d5 6. e6 d5 7. c4 d5 8. d7 d6 9. b1 c3 10. g7 g6 11. e2 e4 12. f8 g7 13. g1 f3 14. g8 e7 
412	A40	Borg Defense: Borg Gambit	rnbqkbnr/pppppp1p/8/6p1/3P4/8/PPP1PPPP/RNBQKBNR w KQkq -	d2d4 g7g5	1. d2 d4 2. g7 g5 
413	A40	Colle System: Pterodactyl Variation	rnb1k1nr/pp1pppbp/6p1/q1p5/3P4/3BPN2/PPP2PPP/RNBQK2R w KQkq -	d2d4 g7g6 g1f3 f8g7 e2e3 c7c5 f1d3 d8a5	1. d2 d4 2. g7 g6 3. g1 f3 4. f8 g7 5. e2 e3 6. c7 c5 7. f1 d3 8. d8 a5 
414	A40	Colle System: Siroccopteryx Variation	rnb1k1nr/pp1pppbp/6p1/q7/3N4/3BP3/PPP2PPP/RNBQK2R w KQkq -	d2d4 g7g6 g1f3 f8g7 e2e3 c7c5 f1d3 c5d4 f3d4 d8a5	1. d2 d4 2. g7 g6 3. g1 f3 4. f8 g7 5. e2 e3 6. c7 c5 7. f1 d3 8. c5 d4 9. f3 d4 10. d8 a5 
415	A40	Dutch Defense: Senechaud Gambit	rnbqkbnr/pppp2pp/4p3/5p2/3P1BP1/8/PPP1PP1P/RN1QKBNR b KQkq -	d2d4 e7e6 c1f4 f7f5 g2g4	1. d2 d4 2. e7 e6 3. c1 f4 4. f7 f5 5. g2 g4 
416	A40	Dutch Defense: Stonewall Variation, Modern Variation	rnbqk2r/pp4pp/2pbpn2/3p1p2/2PP4/5NP1/PP2PPBP/RNBQ1RK1 w kq -	d2d4 e7e6 g1f3 f7f5 g2g3 g8f6 f1g2 d7d5 e1g1 f8d6 c2c4 c7c6	1. d2 d4 2. e7 e6 3. g1 f3 4. f7 f5 5. g2 g3 6. g8 f6 7. f1 g2 8. d7 d5 9. e1 g1 10. f8 d6 11. c2 c4 12. c7 c6 
417	A40	English Defense: Blumenfeld-Hiva Gambit	rnbqkbnr/p2p2pp/4p3/1PpP1p2/4P3/8/PP3PPP/RNBQKBNR w KQkq -	d2d4 b7b6 c2c4 c7c5 d4d5 e7e6 e2e4 b6b5 c4b5 f7f5	1. d2 d4 2. b7 b6 3. c2 c4 4. c7 c5 5. d4 d5 6. e7 e6 7. e2 e4 8. b6 b5 9. c4 b5 10. f7 f5 
418	A40	English Defense: Eastbourne Gambit	rn1qkbnr/pbpp1ppp/1p6/4p3/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq -	d2d4 b7b6 c2c4 c8b7 b1c3 e7e5	1. d2 d4 2. b7 b6 3. c2 c4 4. c8 b7 5. b1 c3 6. e7 e5 
419	A40	English Defense: Hartlaub Gambit Accepted	rn1qkb1r/pbpp2pp/1p2pn2/5P2/2PP4/2N5/PP3PPP/R1BQKBNR w KQkq -	c2c4 e7e6 d2d4 b7b6 b1c3 c8b7 e2e4 f7f5 e4f5 g8f6	1. c2 c4 2. e7 e6 3. d2 d4 4. b7 b6 5. b1 c3 6. c8 b7 7. e2 e4 8. f7 f5 9. e4 f5 10. g8 f6 
420	A40	English Defense: Hartlaub Gambit Declined	rn1qkbnr/pbpp2pp/1p2p3/3P1p2/2P1P3/2N5/PP3PPP/R1BQKBNR b KQkq -	c2c4 e7e6 d2d4 b7b6 b1c3 c8b7 e2e4 f7f5 d4d5	1. c2 c4 2. e7 e6 3. d2 d4 4. b7 b6 5. b1 c3 6. c8 b7 7. e2 e4 8. f7 f5 9. d4 d5 
421	A40	English Defense: Perrin Variation	r2qkbnr/pbpp1ppp/1pn1p3/8/2PPP3/3B4/PP3PPP/RNBQK1NR w KQkq -	d2d4 e7e6 c2c4 b7b6 e2e4 c8b7 f1d3 b8c6	1. d2 d4 2. e7 e6 3. c2 c4 4. b7 b6 5. e2 e4 6. c8 b7 7. f1 d3 8. b8 c6 
422	A40	English Defense: Poli Gambit	rn1qkb1r/pbpp2pp/1p2p2n/5P2/2PP4/5P2/PP4PP/RNBQKBNR w KQkq -	d2d4 e7e6 c2c4 b7b6 e2e4 c8b7 f2f3 f7f5 e4f5 g8h6	1. d2 d4 2. e7 e6 3. c2 c4 4. b7 b6 5. e2 e4 6. c8 b7 7. f2 f3 8. f7 f5 9. e4 f5 10. g8 h6 
423	A40	English Defense	rnbqkbnr/p1pp1ppp/1p2p3/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -	d2d4 e7e6 c2c4 b7b6	1. d2 d4 2. e7 e6 3. c2 c4 4. b7 b6 
424	A40	English Defense	rnbqkbnr/p1pppppp/1p6/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq -	d2d4 b7b6	1. d2 d4 2. b7 b6 
425	A40	Englund Gambit Complex Declined, Diemer Counterattack	rnb1k1nr/pppp1ppp/8/2bPp3/4P2q/8/PPP2PPP/RNBQKBNR w KQkq -	d2d4 e7e5 d4d5 f8c5 e2e4 d8h4	1. d2 d4 2. e7 e5 3. d4 d5 4. f8 c5 5. e2 e4 6. d8 h4 
426	A40	Englund Gambit Complex Declined	rnbqkbnr/pppp1ppp/8/3Pp3/8/8/PPP1PPPP/RNBQKBNR b KQkq -	d2d4 e7e5 d4d5	1. d2 d4 2. e7 e5 3. d4 d5 
427	A40	Englund Gambit Complex: Englund Gambit	r1b1kbnr/ppppqppp/2n5/4P3/8/5N2/PPP1PPPP/RNBQKB1R w KQkq -	d2d4 e7e5 d4e5 b8c6 g1f3 d8e7	1. d2 d4 2. e7 e5 3. d4 e5 4. b8 c6 5. g1 f3 6. d8 e7 
428	A40	Englund Gambit Complex: Felbecker Gambit	r1bqk1nr/pppp1ppp/2n5/2b1P3/8/5N2/PPP1PPPP/RNBQKB1R w KQkq -	d2d4 e7e5 d4e5 b8c6 g1f3 f8c5	1. d2 d4 2. e7 e5 3. d4 e5 4. b8 c6 5. g1 f3 6. f8 c5 
429	A40	Englund Gambit Complex: Hartlaub-Charlick Gambit	rnbqkbnr/ppp2ppp/3p4/4P3/8/8/PPP1PPPP/RNBQKBNR w KQkq -	d2d4 e7e5 d4e5 d7d6	1. d2 d4 2. e7 e5 3. d4 e5 4. d7 d6 
430	A40	Englund Gambit Complex: Mosquito Gambit	rnb1kbnr/pppp1ppp/8/4P3/7q/8/PPP1PPPP/RNBQKBNR w KQkq -	d2d4 e7e5 d4e5 d8h4	1. d2 d4 2. e7 e5 3. d4 e5 4. d8 h4 
431	A40	Englund Gambit Complex: Soller Gambit Deferred	r1bqkbnr/pppp2pp/2n2p2/4P3/8/5N2/PPP1PPPP/RNBQKB1R w KQkq -	d2d4 e7e5 d4e5 b8c6 g1f3 f7f6	1. d2 d4 2. e7 e5 3. d4 e5 4. b8 c6 5. g1 f3 6. f7 f6 
432	A40	Englund Gambit Complex: Soller Gambit	rnbqkbnr/pppp2pp/5p2/4P3/8/8/PPP1PPPP/RNBQKBNR w KQkq -	d2d4 e7e5 d4e5 f7f6	1. d2 d4 2. e7 e5 3. d4 e5 4. f7 f6 
433	A40	Englund Gambit Complex: Stockholm Variation	r1b1kbnr/ppppqppp/2n5/3QP3/8/5N2/PPP1PPPP/RNB1KB1R b KQkq -	d2d4 e7e5 d4e5 b8c6 g1f3 d8e7 d1d5	1. d2 d4 2. e7 e5 3. d4 e5 4. b8 c6 5. g1 f3 6. d8 e7 7. d1 d5 
434	A40	Englund Gambit Complex: Zilbermints Gambit	r1bqkb1r/ppppnppp/2n5/4P3/8/5N2/PPP1PPPP/RNBQKB1R w KQkq -	d2d4 e7e5 d4e5 b8c6 g1f3 g8e7	1. d2 d4 2. e7 e5 3. d4 e5 4. b8 c6 5. g1 f3 6. g8 e7 
435	A40	Englund Gambit Complex: Zilbermints Gambit	r1bqkbnr/pppp1pp1/2n4p/4P3/8/5N2/PPP1PPPP/RNBQKB1R w KQkq -	d2d4 e7e5 d4e5 b8c6 g1f3 h7h6	1. d2 d4 2. e7 e5 3. d4 e5 4. b8 c6 5. g1 f3 6. h7 h6 
436	A40	Englund Gambit Declined, Reversed Alekhine	rnbqkbnr/pppp1ppp/8/4p3/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq -	d2d4 e7e5 g1f3	1. d2 d4 2. e7 e5 3. g1 f3 
437	A40	Englund Gambit Declined, Reversed Brooklyn	rnbqkbnr/pppp1ppp/8/8/3Pp3/8/PPP1PPPP/RNBQKBNR b KQkq -	d2d4 e7e5 g1f3 e5e4 f3g1	1. d2 d4 2. e7 e5 3. g1 f3 4. e5 e4 5. f3 g1 
438	A40	Englund Gambit Declined, Reversed Krebs	rnbqkbnr/pppp1ppp/8/8/3Pp3/5N2/PPP1PPPP/RNBQKB1R w KQkq -	d2d4 e7e5 g1f3 e5e4	1. d2 d4 2. e7 e5 3. g1 f3 4. e5 e4 
439	A40	Englund Gambit Declined, Reversed Mokele Mbembe	rnbqkbnr/pppp1ppp/8/4N3/3Pp3/8/PPP1PPPP/RNBQKB1R b KQkq -	d2d4 e7e5 g1f3 e5e4 f3e5	1. d2 d4 2. e7 e5 3. g1 f3 4. e5 e4 5. f3 e5 
440	A40	Englund Gambit	rnbqkbnr/pppp1ppp/8/4p3/3P4/8/PPP1PPPP/RNBQKBNR w KQkq -	d2d4 e7e5	1. d2 d4 2. e7 e5 
441	A40	Horwitz Defense	rnbqkbnr/pppp1ppp/4p3/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq -	d2d4 e7e6	1. d2 d4 2. e7 e6 
442	A40	Kangaroo Defense: Keres Defense, Transpositional Variation	rnbqk1nr/pppp1ppp/4p3/8/1bPP4/2N5/PP2PPPP/R1BQKBNR b KQkq -	d2d4 e7e6 c2c4 f8b4 b1c3	1. d2 d4 2. e7 e6 3. c2 c4 4. f8 b4 5. b1 c3 
443	A40	Kangaroo Defense	rnbqk1nr/pppp1ppp/4p3/8/1bPP4/8/PP2PPPP/RNBQKBNR w KQkq -	d2d4 e7e6 c2c4 f8b4	1. d2 d4 2. e7 e6 3. c2 c4 4. f8 b4 
444	A40	Mikenas Defense: Cannstatter Variation	r1bqkbnr/pppp1ppp/8/3Pp3/2Pn4/8/PP2PPPP/RNBQKBNR w KQkq -	d2d4 b8c6 c2c4 e7e5 d4d5 c6d4	1. d2 d4 2. b8 c6 3. c2 c4 4. e7 e5 5. d4 d5 6. c6 d4 
445	A40	Mikenas Defense: Lithuanian Variation	r1bqkbnr/ppppnppp/8/3Pp3/2P5/8/PP2PPPP/RNBQKBNR w KQkq -	d2d4 b8c6 c2c4 e7e5 d4d5 c6e7	1. d2 d4 2. b8 c6 3. c2 c4 4. e7 e5 5. d4 d5 6. c6 e7 
446	A40	Mikenas Defense: Pozarek Gambit	r1bqkbnr/pppp1ppp/8/8/2n5/2N5/PP2PPPP/R1BQKBNR w KQkq -	d2d4 b8c6 c2c4 e7e5 d4e5 c6e5 b1c3 e5c4	1. d2 d4 2. b8 c6 3. c2 c4 4. e7 e5 5. d4 e5 6. c6 e5 7. b1 c3 8. e5 c4 
447	A40	Mikenas Defense	r1bqkbnr/pppppppp/2n5/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq -	d2d4 b8c6	1. d2 d4 2. b8 c6 
448	A40	Modern Defense: Beefeater Variation	rnbqk1nr/pp1pp2p/6p1/2pP1p2/2P5/2P5/P3PPPP/R1BQKBNR w KQkq -	d2d4 g7g6 c2c4 f8g7 b1c3 c7c5 d4d5 g7c3 b2c3 f7f5	1. d2 d4 2. g7 g6 3. c2 c4 4. f8 g7 5. b1 c3 6. c7 c5 7. d4 d5 8. g7 c3 9. b2 c3 10. f7 f5 
449	A40	Modern Defense: Lizard Defense, Pirc-Diemer Gambit	rnbqkb1r/pppppp1p/5np1/7P/3P4/8/PPP1PPP1/RNBQKBNR b KQkq -	d2d4 g7g6 h2h4 g8f6 h4h5	1. d2 d4 2. g7 g6 3. h2 h4 4. g8 f6 5. h4 h5 
450	A40	Modern Defense	rnbqkbnr/pppppp1p/6p1/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq -	d2d4 g7g6	1. d2 d4 2. g7 g6 
451	A40	Montevideo Defense	rnbqkbnr/pppppppp/8/3P4/8/8/PPP1PPPP/RNBQKBNR w KQkq -	d2d4 b8c6 d4d5 c6b8	1. d2 d4 2. b8 c6 3. d4 d5 4. c6 b8 
452	A40	Polish Defense	rnbqkbnr/p1pppppp/8/1p6/3P4/8/PPP1PPPP/RNBQKBNR w KQkq -	d2d4 b7b5	1. d2 d4 2. b7 b5 
453	A40	Polish Defense: Spassky Gambit Accepted	rn1qkbnr/pbpppppp/8/1B6/3PP3/8/PPP2PPP/RNBQK1NR b KQkq -	d2d4 b7b5 e2e4 c8b7 f1b5	1. d2 d4 2. b7 b5 3. e2 e4 4. c8 b7 5. f1 b5 
454	A40	Pterodactyl Defense: Central, Benoni Beefeater Pterodactyl	rnb1k1nr/pp2pp1p/3p2p1/q1pP4/2P1P3/2P5/P4PPP/R1BQKBNR w KQkq -	d2d4 g7g6 c2c4 f8g7 b1c3 c7c5 d4d5 d7d6 e2e4 g7c3 b2c3 d8a5	1. d2 d4 2. g7 g6 3. c2 c4 4. f8 g7 5. b1 c3 6. c7 c5 7. d4 d5 8. d7 d6 9. e2 e4 10. g7 c3 11. b2 c3 12. d8 a5 
455	A40	Pterodactyl Defense: Central, Benoni Pterodactyl	rnb1k1nr/pp1pppbp/6p1/q1pP4/2P1P3/8/PP3PPP/RNBQKBNR w KQkq -	d2d4 g7g6 c2c4 f8g7 e2e4 c7c5 d4d5 d8a5	1. d2 d4 2. g7 g6 3. c2 c4 4. f8 g7 5. e2 e4 6. c7 c5 7. d4 d5 8. d8 a5 
